Артикул,Штрихкод,Бренд,Линейка,Название,Название (рус),Категория,Подкатегория,Тип,Объём,Состав,Активы,Тип кожи,Проблемы кожи,Возраст,Цена,Старая цена,Валюта,В наличии,Количество,Описание,Подробное описание,Применение,Веган,Без жестокости,Страна,Производитель,Срок годности,Вес,Габариты,Фото,parent_sku,Теги,additional_info
RL-1025-200,8809553661210,Round Lab,1025 Dokdo,Round Lab 1025 Dokdo Toner 200ml,Round Lab Тонер 1025 Токто 200 мл,Уход за лицом,Тонирование,Тонер,200 мл,"Ulleungdo Deep Sea Water (40%), Glycerin, Propanediol, Butylene Glycol, 1,2-Hexanediol, Panthenol, Allantoin, Sodium Hyaluronate, Madecassoside",Deep Sea Water|Panthenol|Madecassoside,все типы|чувствительная|обезвоженная,обезвоженность|тусклый тон,18+,1690,1990,RUB,да,55,Тонер с глубинной морской водой острова Уллындо,"Освежающий тонер Round Lab с минеральной водой с глубины 1025 м острова Уллындо. Богата минералами для восстановления электролитного баланса кожи. Бережно увлажняет без липкости.","Ватным диском или ладонями после умывания",да,да,Южная Корея,Round Lab,30 мес,240 г,6×6×16 см,https://cdn.shopify.com/s/files/.../roundlab_1025_toner_200.jpg|https://cdn.shopify.com/s/files/.../roundlab_1025_toner_200_2.jpg,,хит,"{""ph"":5.5,""pack_type"":""Флакон"",""key_benefits"":[""Увлажнение"",""Минералы"",""Освежает""],""halal"":""нет""}"
RL-1025-400,8809553661227,Round Lab,1025 Dokdo,Round Lab 1025 Dokdo Toner 400ml,Round Lab Тонер 1025 Токто 400 мл,Уход за лицом,Тонирование,Тонер,400 мл,,Deep Sea Water|Panthenol,все типы|чувствительная,обезвоженность,18+,2790,3290,,да,38,Тонер с глубинной морской водой 400 мл,Большой объём — оптимально для ежедневного использования.,Ватным диском после умывания,да,да,Южная Корея,Round Lab,30 мес,460 г,,https://cdn.shopify.com/s/files/.../roundlab_1025_toner_400.jpg,RL-1025-200,экономичный объём,
ANUA-HL77-250,8809701290115,Anua,Heartleaf 77,Anua Heartleaf 77% Soothing Toner 250ml,Anua Тонер с хауттюйнией 77% 250 мл,Уход за лицом,Тонирование,Тонер,250 мл,"Houttuynia Cordata Extract (77%), Water, Butylene Glycol, Glycerin, Niacinamide, 1,2-Hexanediol, Panthenol, Centella Asiatica Extract, Salicylic Acid",Houttuynia|Centella|Niacinamide|Salicylic Acid,жирная|комбинированная|чувствительная,акне|раздражение|расширенные поры,,2190,,RUB,Yes,46,Успокаивающий тонер с экстрактом хауттюйнии 77%,"Успокаивающий тонер Anua с 77% экстракта хауттюйнии. Помогает справиться с воспалениями и раздражением, контролирует выработку себума. Подходит для проблемной и чувствительной кожи.","2-3 раза похлопывающими движениями после умывания, утром и вечером",да,да,Южная Корея,Anua,24 мес,280 г,,https://cdn.shopify.com/s/files/.../anua_heartleaf77_toner.jpg,,новинка|против акне,"{""ph"":5.5,""pack_type"":""Флакон"",""key_benefits"":[""Успокаивает"",""Против воспалений"",""Контроль себума""]}"
SK1004-MC-100,8809389033210,Skin1004,Madagascar Centella,Skin1004 Madagascar Centella Ampoule 100ml,Skin1004 Ампула с центеллой 100 мл,Уход за лицом,Сыворотки и эссенции,Ампула,100 ml,"Centella Asiatica Extract (100%)",Centella Asiatica,все типы|чувствительная,раздражение|покраснения|акне,,2890,3290,,да,33,Ампула со 100% экстрактом мадагаскарской центеллы,"Минималистичная ампула с одним ингредиентом — 100% экстрактом дикорастущей центеллы с Мадагаскара. Заживляет, успокаивает, укрепляет барьер кожи. Безопасна для чувствительной кожи.",2-3 капли после тонера утром и вечером,да,да,Южная Корея,"Crown Crest Korea Co., Ltd.",24 мес,140 г,,,,успокаивающее,"{""pack_type"":""Флакон с пипеткой"",""fragrance"":""Без отдушек"",""key_benefits"":[""Заживление"",""Успокаивает""],""halal"":""нет""}"
NB-N3-50,8809720500011,Numbuzin,No.3 Skin Softening,Numbuzin No.3 Super Glowing Essence Toner 50ml,Numbuzin Сыворотка для сияния N3 50 мл,Уход за лицом,Сыворотки и эссенции,Эссенция,50 мл,"Saccharomyces Ferment (76%), Niacinamide, Galactomyces Ferment Filtrate, Bifida Ferment Lysate, Lactobacillus Ferment, Hyaluronic Acid, Adenosine",Galactomyces|Niacinamide|Bifida Ferment|Adenosine,все типы,тусклый тон|неровный тон|мелкие морщинки,30+,3290,,RUB,да,21,Эссенция для сияния с ферментами,,"3-4 капли после тонера, утром и вечером",да,да,Южная Корея,Numbuzin,24 мес,80 г,,https://numbuzin.com/cdn/shop/products/no3_essence.jpg,,анти-эйдж,"{""ph"":5.0,""pack_type"":""Флакон с пипеткой"",""key_benefits"":[""Сияние"",""Выравнивание тона"",""Анти-эйдж""]}"
LNG-WB-50,8809685806012,Laneige,Water Bank,Laneige Water Bank Blue Hyaluronic Cream 50ml,Laneige Крем с гиалуроновой кислотой 50 мл,Уход за лицом,Кремы,Крем,50 ml,"Water, Glycerin, Methyl Trimethicone, Cyclopentasiloxane, Butylene Glycol, Caprylic/Capric Triglyceride, PEG-10 Dimethicone, Niacinamide, Polyglyceryl-3 Methylglucose Distearate, Blue Hyaluronic Acid Complex, Trehalose, Acetyl Hexapeptide-8","Blue Hyaluronic Acid|Niacinamide|Trehalose",сухая|нормальная|обезвоженная,обезвоженность|тусклый тон,25+,3990.00,4490,RUB,да,17,Увлажняющий крем с голубой гиалуроновой кислотой,"Премиальный увлажняющий крем Laneige с эксклюзивным комплексом голубой гиалуроновой кислоты. Глубоко увлажняет на 24 часа. Лёгкая текстура подходит для ежедневного ухода. Содержит ниацинамид для сияния.","Финальный шаг ухода, наносить на лицо и шею",нет,да,Южная Корея,"AmorePacific Corp.",30 мес,180 г,,https://www.laneige.com/int/en/water-bank-blue.jpg|https://www.laneige.com/int/en/water-bank-blue-2.jpg|https://www.laneige.com/int/en/water-bank-blue-texture.jpg,,премиум|увлажнение,"{""pack_type"":""Баночка"",""fragrance"":""Лёгкий цветочный"",""key_benefits"":[""Глубокое увлажнение"",""24 часа"",""Сияние""],""halal"":""нет"",""certifications"":[]}"
MISSHA-TR-150,8809530054512,Missha,Time Revolution,Missha Time Revolution The First Treatment Essence 5x 150ml,Missha Эссенция Time Revolution 5x 150 мл,Уход за лицом,Сыворотки и эссенции,Эссенция,150 мл,"Yeast Ferment Extract (Saccharomyces), Bifida Ferment Lysate, Galactomyces Ferment Filtrate, Lactobacillus Ferment, Butylene Glycol, Niacinamide, Sodium Hyaluronate","Yeast Ferment|Bifida|Galactomyces|Niacinamide",все типы|зрелая,тусклый тон|морщинки|обезвоженность,35+,2990,,,да,29,Эссенция первого шага с 5 типами ферментов,"Эссенция Missha с комплексом 5 типов ферментов. Подготавливает кожу к восприятию последующих средств, увлажняет, разглаживает.","После умывания на влажную кожу, похлопывающими движениями",,да,Южная Корея,"Able C&C Co., Ltd.",30 мес,220 г,,https://cdn.shopify.com/s/files/.../missha_time_revolution_essence.jpg,,анти-эйдж|первая помощь,"{'ph':5.5,'pack_type':'Флакон','key_benefits':['Ферменты','Анти-эйдж','Увлажнение']}"
ETD-SJ-200,8809667858142,Etude House,SoonJung,Etude House SoonJung pH 5.5 Relief Toner 200ml,Etude House Тонер SoonJung pH 5.5 200 мл,Уход за лицом,Тонирование,Тонер,200ML,"Water, Butylene Glycol, Glycerin, 1,2-Hexanediol, Panthenol (5%), Madecassoside, Centella Asiatica Extract, Allantoin",Panthenol|Madecassoside|Centella,чувствительная|сухая|комбинированная,раздражение|покраснения|обезвоженность,,1290,,RUB,да,72,Бережный тонер с пантенолом для чувствительной кожи,"Деликатный тонер Etude House SoonJung создан для самой чувствительной и раздражённой кожи. Содержит 5% пантенола для интенсивного успокоения. pH 5.5 — близок к естественному pH кожи.","После очищения, ватным диском или ладонями",,да,Южная Корея,"AmorePacific Corp.",30 мес,230 г,,https://cdn.shopify.com/s/files/.../etude_soonjung_toner.jpg,,для чувствительной кожи,"{""ph"":5.5,""pack_type"":""Флакон"",""fragrance"":""Без отдушек"",""key_benefits"":[""Успокаивает"",""Бережно"",""Для чувствительной""]}"
TRD-DIVE-50,8809725252011,Torriden,DIVE-IN,Torriden DIVE-IN Low Molecular Hyaluronic Acid Serum 50ml,Torriden DIVE-IN Сыворотка с гиалуроновой кислотой 50 мл,Уход за лицом,Сыворотки и эссенции,Сыворотка,50 мл,"Water, Butylene Glycol, 1,2-Hexanediol, Sodium Hyaluronate, Hydrolyzed Sodium Hyaluronate, Hyaluronic Acid, Sodium Acetylated Hyaluronate, Hydrolyzed Hyaluronic Acid, Sodium Hyaluronate Crosspolymer, Allantoin, Panthenol","5D Hyaluronic Acid|Panthenol|Allantoin",все типы|обезвоженная,обезвоженность|тусклый тон,,1990,2290,RUB,да,64,Сыворотка с 5 типами гиалуроновой кислоты,"Сыворотка Torriden с уникальным комплексом 5 типов гиалуроновой кислоты разного молекулярного веса. Обеспечивает многоуровневое увлажнение от поверхностных до глубоких слоёв.","2-3 капли после тонера, утром и вечером",да,да,Южная Корея,Torriden,24 мес,90 г,,https://torriden.com/cdn/shop/products/dive_in_serum.jpg,,хит|увлажнение,"{""ph"":6.0,""pack_type"":""Флакон с пипеткой"",""fragrance"":""Без отдушек"",""key_benefits"":[""5 типов ГК"",""Глубокое увлажнение"",""Без липкости""]}"
HMSH-AC-120,8809481768041,Heimish,All Clean Balm,Heimish All Clean Balm 120ml,Heimish Очищающий бальзам 120 мл,Уход за лицом,Очищение,Бальзам,120 ml,"Ethylhexyl Palmitate, PEG-20 Glyceryl Triisostearate, Synthetic Wax, Microcrystalline Wax, Persea Gratissima (Avocado) Oil, Helianthus Annuus (Sunflower) Seed Oil, Tocopheryl Acetate, Lavandula Angustifolia (Lavender) Oil, Anthemis Nobilis Flower Oil",Avocado Oil|Sunflower Oil|Tocopherol,все типы|сухая|чувствительная,макияж|загрязнения,,1990,,,да,27,Гидрофильный бальзам для снятия макияжа,"Бальзам Heimish мягко растворяет даже стойкий макияж и SPF. Содержит масла авокадо и подсолнечника. При контакте с водой превращается в молочную эмульсию, легко смывается без липкости.","Сухими руками распределить по сухой коже лица, эмульгировать с водой, смыть",,да,Южная Корея,Heimish,36 мес,180 г,,https://cdn.shopify.com/s/files/.../heimish_all_clean_balm.jpg|https://cdn.shopify.com/s/files/.../heimish_all_clean_balm_texture.jpg,,must have,"{""pack_type"":""Баночка"",""fragrance"":""Лаванда, ромашка"",""key_benefits"":[""Снимает макияж"",""Снимает SPF"",""Не сушит""]}"
MED-NMF-10,8809470114918,Mediheal,N.M.F Aquaring,Mediheal N.M.F Aquaring Ampoule Mask 10pcs,Mediheal Тканевые маски N.M.F Aquaring 10шт,Уход за лицом,Маски,Тканевая маска,25 мл × 10,"Water, Glycerin, Butylene Glycol, Niacinamide, Sodium Hyaluronate, Trehalose, Betaine, Allantoin, Hydrolyzed Hyaluronic Acid, Sodium Acetylated Hyaluronate","Hyaluronic Acid|Niacinamide|Trehalose",все типы|обезвоженная,обезвоженность|тусклый тон,,1490,1790,RUB,да,40,Тканевые маски с гиалуроновой кислотой 10 шт,Набор из 10 интенсивно увлажняющих тканевых масок Mediheal. С комплексом гиалуроновой кислоты разного молекулярного веса.,"Очистить кожу, наложить маску на 15-20 минут, остатки эссенции вбить пальцами",,да,Южная Корея,L&P Cosmetics,30 мес,300 г,,https://cdn.shopify.com/s/files/.../mediheal_nmf_pack10.jpg,,набор,"{""pack_type"":""Коробка 10 шт"",""key_benefits"":[""Увлажнение"",""Сияние"",""Свежесть""]}"
KB-CSRX-SNAIL-100,,cosrx,,Эссенция с улиточным муцином 96% COSRX 100мл,Эссенция с улиточным муцином 96% COSRX 100мл,Уход за лицом,Сыворотки,Эссенция,100 мл,"Snail Secretion Filtrate 96%, Betaine, Butylene Glycol, Sodium Hyaluronate",Snail Mucin,все типы,следы постакне,,2090,,руб,да,12,Эссенция с муцином улитки 96%,,После очищения 2-3 капли,,,Корея,,,,,https://cdn.shopify.com/s/files/.../cosrx_snail_essense.jpg,,,"{""pack_type"":""Дозатор""}"
RL-BODY-400,8809553662019,Round Lab,1025 Dokdo,Round Lab 1025 Dokdo Body Lotion 400ml,Round Lab Лосьон для тела 1025 Токто 400 мл,Уход за телом,Лосьоны и кремы для тела,Лосьон,400 мл,"Ulleungdo Deep Sea Water (45%), Glycerin, Cetearyl Alcohol, Caprylic/Capric Triglyceride, Niacinamide, Panthenol, Madecassoside, Allantoin","Deep Sea Water|Panthenol|Niacinamide",все типы|сухая,обезвоженность тела,,2190,,RUB,да,29,Лосьон для тела с глубинной морской водой,"Лёгкий лосьон Round Lab для ежедневного увлажнения тела. С минеральной водой Уллындо и пантенолом. Быстро впитывается без липкости.","После душа на влажную кожу",да,да,Южная Корея,Round Lab,30 мес,450 г,,https://cdn.shopify.com/s/files/.../roundlab_body_lotion_400.jpg,,,"{""pack_type"":""Флакон с дозатором"",""key_benefits"":[""Увлажнение тела"",""Без липкости""]}"
INF-OLV-300,8809843141023,Innisfree,Olive Real,Innisfree Olive Real Body Wash 300ml,Innisfree Гель для душа с оливой 300 мл,Уход за телом,Гели для душа,Гель для душа,300мл,"Water, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Sodium Cocoyl Isethionate, Olea Europaea (Olive) Fruit Oil, Glycerin, Olea Europaea (Olive) Leaf Extract, Tocopheryl Acetate",Olive Oil|Vitamin E,все типы|сухая,сухость тела,,1190,,,да,42,Гель для душа с маслом оливы,Питательный гель для душа с маслом оливы. Деликатно очищает не пересушивая кожу.,Нанести на влажную кожу мочалкой или ладонями,,,Южная Корея,"Innisfree Corp.",24 мес,330 г,,https://https://cdn.shopify.com/s/files/.../innisfree_olive_body_wash.jpg,,,"{""pack_type"":""Флакон с дозатором"",""fragrance"":""Олива""}"
PKY-ATO-290,8809612862013,Pyunkang Yul,ATO,Pyunkang Yul ATO Cream Lotion Blue Label 290ml,Pyunkang Yul Лосьон-крем ATO Blue Label 290 мл,Уход за телом,Лосьоны и кремы для тела,Лосьон-крем,290 ml,"Coptis Japonica Root Extract (10%), Water, Caprylic/Capric Triglyceride, Glycerin, Cetearyl Alcohol, Panthenol, Allantoin, Madecassoside, Ceramide NP","Coptis Root|Ceramide|Madecassoside|Panthenol",сухая|чувствительная|атопическая,сухость|зуд|раздражение,,3490,,RUB,да,18,Лосьон-крем для очень сухой и атопичной кожи тела,"Специализированный лосьон-крем Pyunkang Yul ATO для самой сухой и атопичной кожи. С керамидами и пантенолом для восстановления барьера. Подходит детям с 6 месяцев. Без отдушек.",Наносить 2-3 раза в день на сухие участки,да,да,Южная Корея,"Pyunkang Hospital Co., Ltd.",,330 г,,https://cdn.shopify.com/s/files/.../pyunkangyul_ato_cream_lotion.jpg,,для атопичной кожи|без отдушек,"{""pack_type"":""Флакон с дозатором"",""fragrance"":""Без отдушек"",""key_benefits"":[""Для атопичной"",""Керамиды"",""Восстановление барьера""],""certifications"":[""EWG Verified""]}"
HNYL-YJ-100,8809585520011,Hanyul,Yuja,Hanyul Yuja Hair Oil Treatment 100ml,Hanyul Масло для волос с юдзу 100 мл,Уход за волосами,Сыворотки и масла,Масло,100 мл,"Cyclopentasiloxane, Dimethicone, Citrus Junos Fruit Extract (Yuja), Argania Spinosa Kernel Oil, Camellia Japonica Seed Oil, Tocopheryl Acetate",Yuja|Argan Oil|Camellia,все типы|сухие|повреждённые,сухость|повреждения|тусклость,,2490,,RUB,да,15,Масло для волос с экстрактом юдзу,"Питательное масло для волос Hanyul с экстрактом юдзу. Восстанавливает повреждённые волосы, придаёт блеск, не утяжеляет.","2-3 капли на влажные или сухие волосы, особенно на кончики",,да,Южная Корея,"AmorePacific Corp.",30 мес,140 г,,https://cdn.shopify.com/s/files/.../hanyul_yuja_hair_oil.jpg,,,"{""pack_type"":""Флакон с пипеткой"",""fragrance"":""Цитрусовый, юдзу""}"
